# This file contains the mean and standard deviation of the squared overlap <ψ_alpha=2|φ_alpha>²> of the ground state wavefunction of the generalized Haldane-Shastry model with arbitrary interaction range α with the the ground state of alpha=2 Haldane-Shastry model.
# Here N is the system size, δ is the position disorder strength and α is the interaction range parameter.
# Columns: N, α, δ, mean of squared overlap <ψ_alpha=2|φ_alpha>²>, standard deviation of squared overlap
 
N, α, δ, mean, std_deviation
8 0.9 0.0 0.9992298531185811 0.0
8 1.0 0.0 0.9993924375878385 0.0
8 1.1 0.0 0.9995299444000807 0.0
8 1.2 0.0 0.9996450496069346 0.0
8 1.3 0.0 0.9997401405567927 0.0
8 1.4 0.0 0.9998173525952593 0.0
8 1.5 0.0 0.9998786003467288 0.0
8 1.6 0.0 0.9999256044313639 0.0
8 1.7 0.0 0.9999599143333819 0.0
8 1.8 0.0 0.9999829280214826 0.0
8 1.9 0.0 0.9999959088263529 0.0
8 2.0 0.0 1.0 0.0
8 2.1 0.0 0.9999962373144942 0.0
8 2.2 0.0 0.9999855600013147 0.0
8 2.3 0.0 0.9999688202850606 0.0
8 2.4 0.0 0.999946791725318 0.0
8 2.5 0.0 0.9999201765467676 0.0
8 2.6 0.0 0.9998896121091722 0.0
8 2.7 0.0 0.9998556766448159 0.0
8 2.8 0.0 0.9998188943706895 0.0
8 2.9 0.0 0.9997797400655413 0.0
8 3.0 0.0 0.9997386431874489 0.0
8 Inf 0.0 0.9981438896997497 0.0
6 0.0 0.0 0.5670655210628126 0.0
6 0.0001 0.0 0.999219516126542 0.0
6 0.001 0.0 0.9992204062366996 0.0
6 0.01 0.0 0.9992292698182963 0.0
6 0.1 0.0 0.9993142147674379 0.0
6 0.2 0.0 0.999400984565803 0.0
6 0.3 0.0 0.9994801285563321 0.0
6 0.4 0.0 0.9995520400330674 0.0
6 0.5 0.0 0.999617103060906 0.0
6 0.6 0.0 0.9996756919887313 0.0
6 0.7 0.0 0.9997281710203387 0.0
6 0.8 0.0 0.9997748938422677 0.0
6 0.9 0.0 0.9998162033073716 0.0
6 1.0 0.0 0.9998524311726829 0.0
6 1.1 0.0 0.9998838978898743 0.0
6 1.2 0.0 0.9999109124464307 0.0
6 1.3 0.0 0.9999337722554102 0.0
6 1.4 0.0 0.9999527630915633 0.0
6 1.5 0.0 0.9999681590713874 0.0
6 1.6 0.0 0.9999802226746207 0.0
6 1.7 0.0 0.9999892048045763 0.0
6 1.8 0.0 0.9999953448846587 0.0
6 1.9 0.0 0.9999988709883555 0.0
6 2.0 0.0 1.0 0.0
6 2.1 0.0 0.9999989378035853 0.0
6 2.2 0.0 0.9999958794969352 0.0
6 2.3 0.0 0.9999910096285839 0.0
6 2.4 0.0 0.9999845024547647 0.0
6 2.5 0.0 0.9999765222139797 0.0
6 2.6 0.0 0.999967223416698 0.0
6 2.7 0.0 0.9999567511478381 0.0
6 2.8 0.0 0.99994524137977 0.0
6 2.9 0.0 0.9999328212936947 0.0
6 3.0 0.0 0.9999196096073812 0.0
6 Inf 0.0 0.9992301766027059 0.0
16 0.0 0.1 0.000706498359732358 0.0009892178179056862
16 0.0001 0.1 0.9368038300146351 0.009444916583313173
16 0.001 0.1 0.9369112272457722 0.009434464422632958
