# This file contains the mean r-statistics values and standard errors for the generalized Haldane-Shastry model with arbitrary interaction range α 
 for various parameters in m=0 sector to analyse the data collapse as function of effective parameters αδ.
# Here N is the system size, hj is the magnetic field strength, δ is the position disorder strength and α is the interaction range parameter.
# Columns: N, hj, δ, αδ, mean_r_statistic, std_error
 
N, hj, δ, αδ, mean_r_statistic, std_error
16 0.1 1.0 6.5 0.41808831478973024 0.0004743307237558185
16 0.1 1.0 7.0 0.4138867064606771 0.0005329786614606441
16 0.1 1.0 7.5 0.40817065635391125 0.0006510006826445895
16 0.1 1.0 8.0 0.4055862366312214 0.0005004509242911186
16 0.1 1.0 8.5 0.40215389802368334 0.0006104817041111044
16 0.1 1.0 9.0 0.3986323409989768 0.0006022946414686003
16 0.1 1.0 9.5 0.39657161335280217 0.000599594277964384
16 0.1 1.0 10.0 0.39289126307551236 0.0011437669364005028
16 0.1 1.0 10.5 0.39100248480262806 0.0009586141647527299
16 0.1 1.0 11.0 0.38368185193040005 0.0016086557919449238
16 0.1 1.0 11.5 0.3872484505375819 0.0011235718377321095
16 0.1 1.0 12.0 0.38127323209823766 0.0016208906596496962
16 0.1 1.0 12.5 0.3800409668466732 0.0016624550996970713
16 0.1 1.0 13.0 0.3780123070620683 0.0017342709941226132
16 0.1 1.0 13.5 0.36918652235801813 0.0022515288890784598
16 0.1 1.0 14.0 0.3677540123325664 0.0022529740432542084
16 0.1 1.0 14.5 0.3659363123548744 0.0022418865931896712
16 0.1 1.0 15.0 0.3643646094907728 0.002363079007421028
16 0.3 0.1 0.5 0.530659389130964 8.819572320939209e-5
16 0.3 0.1 1.0 0.5303091204325778 8.613922436857742e-5
16 0.3 0.1 1.5 0.5118998349133265 0.0006233603566567342
16 0.3 0.1 2.0 0.47683538955214133 0.0009279973910941772
16 0.3 0.1 2.5 0.4514962888918753 0.00083903551421691
16 0.3 0.1 3.0 0.4344160150017191 0.0007957415835725907
16 0.3 0.1 3.5 0.4223726242628418 0.000721667121073808
16 0.3 0.1 4.0 0.4137869118535005 0.0006092738167025192
16 0.3 0.1 4.5 0.4081170854303741 0.0005327868087777559
16 0.3 0.1 5.0 0.4024123453122851 0.00044586568059902304
16 0.3 0.1 5.5 0.3994336005174285 0.0003810006354174943
16 0.3 0.1 6.0 0.39606189889247095 0.0002896266777446843
16 0.3 0.1 6.5 0.3953123585514198 0.00030785244276698996
16 0.3 0.1 7.0 0.39266825125510335 0.00024674107383305146
16 0.3 0.1 7.5 0.3913484507799065 0.0002173284167881236
16 0.3 0.1 8.0 0.39080531614037844 0.00023458031504774917
16 0.3 0.1 8.5 0.3896423926219756 0.00020465687523107409
16 0.3 0.1 9.0 0.38920611465360067 0.00019768969563522325
16 0.3 0.1 9.5 0.38811044929431004 0.00022726009586479073
16 0.3 0.1 10.0 0.3878209340474778 0.00023069299860481728
16 0.3 0.1 10.5 0.3874830392551336 0.00022295224048060212
