# This file contains the mean IPR and standard errors for the generalized Haldane-Shastry model with arbitrary interaction range α 
 for various parameters in m=0 for this disordered systems.
# Here N is the system size, hj is the magnetic field strength, δ is the position disorder strength and α is the interaction range parameter.
# Columns: N, hj, δ, α, mean_r_statistic, std_error
 
N, hj, δ, α, -log2(IPR), std_error
10 0.1 1.0 0.4 5.679140622102421 0.004909547879065114
10 0.1 1.0 0.6 5.908202808363609 0.005632581642678709
10 0.1 1.0 0.8 5.8589974921749715 0.008219006005134071
10 0.1 1.0 1.0 5.769609729986545 0.009322454941118326
10 0.1 1.0 1.2 5.656927756848315 0.010358127310881562
10 0.1 1.0 1.4 5.553864836986508 0.010604267516638184
10 0.1 1.0 1.6 5.455282925064344 0.010544398959769836
10 0.1 1.0 1.8 5.351381001961528 0.010046633933036217
10 0.1 1.0 2.0 5.245178798799972 0.009851082692075134
10 0.1 1.0 2.2 5.193469896345806 0.009737560370658954
10 0.1 1.0 2.4 5.115094475315761 0.009364067242893216
10 0.1 1.0 2.6 5.016789481861123 0.00976586488454139
10 0.1 1.0 2.8 4.952490728623687 0.009633949397013224
10 0.1 1.0 3.0 4.886090739800235 0.009611012080736406
10 0.3 0.0 0.0 4.5157826859627725 0.004454875420901744
10 0.3 0.0 0.2 5.49207216274844 0.001971520580622991
10 0.3 0.0 0.4 5.627630949419912 0.0021380080756811894
10 0.3 0.0 0.6 6.175638480661271 0.0019415252189061891
10 0.3 0.0 0.8 6.3087279815458235 0.0014569539989585756
10 0.3 0.0 1.0 6.292116781684129 0.0014438683137618215
10 0.3 0.0 1.2 6.240804338365848 0.0016865894616232993
10 0.3 0.0 1.4 6.214909518866267 0.0019447082399713376
10 0.3 0.0 1.6 6.207797903843279 0.001967495942493385
10 0.3 0.0 1.8 6.209613262920535 0.001937117745595332
10 0.3 0.0 2.0 6.211767774231926 0.0021267985542098725
10 0.3 0.0 2.2 6.2586699192134905 0.00207168366699333
10 0.3 0.0 2.4 6.273826948532511 0.001880283483369913
10 0.3 0.0 2.6 6.275982286834987 0.001749463825577156
10 0.3 0.0 2.8 6.275767062653931 0.0019088539479748623
10 0.3 0.0 3.0 6.2777473953564344 0.0017782256127036255
10 0.3 0.1 0.0 4.513761607933393 0.0045201941077310384
10 0.3 0.1 0.2 5.489101652882908 0.0020510531088316327
10 0.3 0.1 0.4 5.619935242018919 0.002255730294188462
10 0.3 0.1 0.6 6.177692889146044 0.0020343945464348554
10 0.3 0.1 0.8 6.316897919554389 0.001452680875947109
10 0.3 0.1 1.0 6.2888565053764625 0.0015250202942546202
10 0.3 0.1 1.2 6.239865594795519 0.001709990014793623
10 0.3 0.1 1.4 6.223061993284657 0.0018870324495868765
10 0.3 0.1 1.6 6.221033261800954 0.0019396471234518454
10 0.3 0.1 1.8 6.2222373320139175 0.0019539946732993175
10 0.3 0.1 2.0 6.238582851356307 0.0018983737561057872
10 0.3 0.1 2.2 6.26489594790725 0.0020506614510868515
10 0.3 0.1 2.4 6.27201001751345 0.0018945101333459596
10 0.3 0.1 2.6 6.269443553659911 0.0019144113510787897
10 0.3 0.1 2.8 6.265448757298637 0.0018982275703428714
10 0.3 0.1 3.0 6.254323294935816 0.0020305006050129115
10 0.3 0.3 0.0 4.523949368488467 0.004392153676356538
10 0.3 0.3 0.2 5.482562513536424 0.002049664309171942
10 0.3 0.3 0.4 5.628067821233952 0.002601392725191832
10 0.3 0.3 0.6 6.172284581062032 0.0021254039995836204
10 0.3 0.3 0.8 6.31198898756006 0.0016791664169738818
10 0.3 0.3 1.0 6.277481391017291 0.0015182121765359565
10 0.3 0.3 1.2 6.233601662509473 0.0016928736522396825
10 0.3 0.3 1.4 6.2143185091334985 0.002145902716416842
10 0.3 0.3 1.6 6.213566480386915 0.00230467949470927
10 0.3 0.3 1.8 6.216254005503153 0.002333587355576316
10 0.3 0.3 2.0 6.202452089273482 0.002736339913751093
10 0.3 0.3 2.2 6.174400914539964 0.003243695711507728
10 0.3 0.3 2.4 6.120359017848093 0.004099123183681518
10 0.3 0.3 2.6 6.081178000763697 0.0046886893663404886
10 0.3 0.3 2.8 6.029512791009729 0.0057026308713543725
10 0.3 0.3 3.0 5.969780862734708 0.006379607196093847
10 0.3 0.5 0.0 4.510244256787728 0.004581385614142825
10 0.3 0.5 0.2 5.471380326249042 0.0022153604287830746
10 0.3 0.5 0.4 5.641515553088491 0.002931282302954351
10 0.3 0.5 0.6 6.178380381014759 0.0023273801592278865
10 0.3 0.5 0.8 6.270685829300297 0.002011863853817428
10 0.3 0.5 1.0 6.22160901794027 0.0023972922915861264
10 0.3 0.5 1.2 6.168414069137969 0.002898158576710665
10 0.3 0.5 1.4 6.117333162232675 0.004268309127047307
10 0.3 0.5 1.6 6.043469773283724 0.006055608231669947
10 0.3 0.5 1.8 5.9839249461905295 0.007162711603778101
10 0.3 0.5 2.0 5.874080430673425 0.008638127532176488
10 0.3 0.5 2.2 5.786764522593786 0.009548038839134746
10 0.3 0.5 2.4 5.670463453404952 0.011136736213842145
10 0.3 0.5 2.6 5.584141727088248 0.012146726156648663
10 0.3 0.5 2.8 5.462877164216874 0.012659945512497873
10 0.3 0.5 3.0 5.3621711197007995 0.013208020633927535
10 0.3 0.8 0.0 4.5123024646002685 0.0045278860851932015
10 0.3 0.8 0.2 5.451870227455688 0.0025353721425631546
10 0.3 0.8 0.4 5.7253292347278135 0.004266613645338422
10 0.3 0.8 0.6 6.135183222010851 0.003442417811360351
10 0.3 0.8 0.8 6.114539389153498 0.005492804587005238
10 0.3 0.8 1.0 5.996107229920279 0.007203321534961082
10 0.3 0.8 1.2 5.842006285677219 0.009268621676073351
10 0.3 0.8 1.4 5.711466308796979 0.010776850526529139
10 0.3 0.8 1.6 5.585803437993708 0.011964568327261789
10 0.3 0.8 1.8 5.46500609493146 0.012626534480486203
10 0.3 0.8 2.0 5.30486830830422 0.013402540844358197
10 0.3 0.8 2.2 5.206539144499359 0.013400441373907002
10 0.3 0.8 2.4 5.086482399543559 0.013984105683737773
10 0.3 0.8 2.6 4.94744971273093 0.014677719197552756
10 0.3 0.8 2.8 4.818920187538136 0.015311996655665242
10 0.3 0.8 3.0 4.724673741860822 0.01514255565070188
10 0.3 1.0 0.0 4.515940621285527 0.0043564351208479285
10 0.3 1.0 0.2 5.440360415963707 0.002878582897096775
10 0.3 1.0 0.4 5.800683729138238 0.005258409466165926
10 0.3 1.0 0.6 6.0251490837856725 0.0058708428963431475
10 0.3 1.0 0.8 5.928175559285739 0.008834434620246813
10 0.3 1.0 1.0 5.77522406351272 0.010095568192326541
10 0.3 1.0 1.2 5.582114223588889 0.011887828203087623
10 0.3 1.0 1.4 5.456776297967362 0.012734219076135776
10 0.3 1.0 1.6 5.304407429097348 0.012969207372315588
10 0.3 1.0 1.8 5.180027603264127 0.013431472255051992
