# This file contains the unique energy values and their degeneracies for the Haldane-Shastry model with system size N=36.
# Columns: energy, degeneracy
 
energy, degeneracy
-21852.0 2881112
-21828.0 2950520
-21804.0 2916200
-21780.0 2881144
-21756.0 2969024
-21732.0 2949092
-21708.0 2842682
-21684.0 3112892
-21660.0 3081680
-21636.0 2927648
-21612.0 3280328
-21588.0 3034033
-21564.0 2981300
-21540.0 3318260
-21516.0 3107028
-21492.0 3169568
-21468.0 3305976
-21444.0 3163109
-21420.0 3158208
-21396.0 3314300
-21372.0 3340290
-21348.0 3353568
-21324.0 3450652
-21300.0 3444081
-21276.0 3409392
-21252.0 3444960
-21228.0 3413856
-21204.0 3438876
-21180.0 3454144
-21156.0 3491276
-21132.0 3693140
-21108.0 3575408
-21084.0 3621928
-21060.0 3798721
-21036.0 3594064
-21012.0 3570464
-20988.0 3811964
-20964.0 3798828
-20940.0 3703000
-20916.0 3796344
-20892.0 3750424
-20868.0 3772164
-20844.0 4048040
-20820.0 4089869
-20796.0 3869742
-20772.0 3974216
-20748.0 4004716
-20724.0 3897952
-20700.0 4064280
-20676.0 4060057
-20652.0 4060464
-20628.0 4227300
-20604.0 4376462
-20580.0 4256948
-20556.0 4137934
-20532.0 4175888
-20508.0 4168176
-20484.0 4362384
-20460.0 4408320
-20436.0 4363904
-20412.0 4580988
-20388.0 4507120
-20364.0 4356218
-20340.0 4485956
-20316.0 4362336
-20292.0 4456099
-20268.0 4841880
-20244.0 4758380
-20220.0 4661250
-20196.0 4796596
-20172.0 4567408
-20148.0 4626876
-20124.0 4969520
-20100.0 4784868
-20076.0 4823960
-20052.0 4888417
-20028.0 4845386
-20004.0 5175768
-19980.0 5143544
-19956.0 4859976
-19932.0 4954192
-19908.0 5129757
-19884.0 5145776
-19860.0 5259012
-19836.0 5298618
-19812.0 5007284
-19788.0 5156758
-19764.0 5639473
-19740.0 5382448
-19716.0 5353956
-19692.0 5480584
-19668.0 5034825
-19644.0 5489964
-19620.0 5955700
-19596.0 5522756
-19572.0 5622568
-19548.0 5618840
-19524.0 5392581
-19500.0 5753592
-19476.0 5855212
-19452.0 5841694
-19428.0 6000356
-19404.0 5857228
-19380.0 5687964
-19356.0 5946592
-19332.0 6033984
-19308.0 5912488
-19284.0 6226989
-19260.0 6145808
-19236.0 6102764
-19212.0 6378896
-19188.0 6086304
-19164.0 6061160
-19140.0 6304491
-19116.0 6351960
-19092.0 6518084
-19068.0 6585604
-19044.0 6518576
-19020.0 6262928
-18996.0 6385681
-18972.0 6797320
-18948.0 6728360
-18924.0 6846984
-18900.0 6709312
-18876.0 6523534
-18852.0 6827556
-18828.0 6698004
-18804.0 6893504
-18780.0 7335432
-18756.0 7073892
-18732.0 6891472
-18708.0 6925112
-18684.0 6958120
-18660.0 7133108
-18636.0 7394046
-18612.0 7550777
-18588.0 7191352
-18564.0 7187964
-18540.0 7469096
-18516.0 7104529
-18492.0 7364392
-18468.0 8046548
-18444.0 7753878
-18420.0 7447556
-18396.0 7656664
-18372.0 7644957
-18348.0 7465624
-18324.0 7881292
-18300.0 8296708
-18276.0 7890924
-18252.0 7933138
-18228.0 8189400
-18204.0 7810056
-18180.0 7846952
-18156.0 8163824
-18132.0 8273573
-18108.0 8511668
-18084.0 8581316
-18060.0 8224620
-18036.0 8207056
-18012.0 8336144
-17988.0 8421419
-17964.0 8886920
-17940.0 8579232
-17916.0 8343356
-17892.0 9047580
-17868.0 8663916
-17844.0 8660057
-17820.0 9440160
-17796.0 8793332
-17772.0 8762552
-17748.0 9033400
-17724.0 8895626
-17700.0 9427652
-17676.0 9134064
-17652.0 9054956
-17628.0 9644848
-17604.0 9412573
-17580.0 9494232
-17556.0 9536164
-17532.0 9275330
-17508.0 9604288
-17484.0 9580254
-17460.0 9685890
-17436.0 9809400
-17412.0 9710532
-17388.0 9973486
-17364.0 10072197
-17340.0 10120798
-17316.0 9991616
-17292.0 9914632
-17268.0 10034368
-17244.0 10159304
-17220.0 10464190
-17196.0 10616312
-17172.0 10184368
-17148.0 10208264
-17124.0 10841920
-17100.0 10387010
-17076.0 10495900
-17052.0 11306408
-17028.0 10630672
-17004.0 10492888
-16980.0 11069113
-16956.0 10678148
-16932.0 11008512
-16908.0 11502420
-16884.0 11082152
-16860.0 11105984
-16836.0 11264134
-16812.0 11074968
-16788.0 11175588
-16764.0 11894360
-16740.0 11920952
-16716.0 11293380
-16692.0 11529032
-16668.0 11700448
-16644.0 11366980
-16620.0 11821614
-16596.0 12173692
-16572.0 11777656
-16548.0 12367112
-16524.0 12538292
-16500.0 11930424
-16476.0 12191192
-16452.0 12320330
-16428.0 12010750
-16404.0 12210384
-16380.0 12727430
-16356.0 12704680
-16332.0 12605938
-16308.0 12869450
-16284.0 12972768
-16260.0 12746720
-16236.0 12782128
-16212.0 12676461
-16188.0 13021300
-16164.0 13657444
-16140.0 13068038
-16116.0 12894628
-16092.0 13455824
-16068.0 13430337
-16044.0 13683822
-16020.0 13913900
-15996.0 13422688
-15972.0 13312264
-15948.0 13477204
-15924.0 14224292
-15900.0 14616848
-15876.0 13778412
-15852.0 13838416
-15828.0 13613004
-15804.0 13546340
-15780.0 15112544
-15756.0 15037708
-15732.0 14271488
-15708.0 14762328
-15684.0 14316801
-15660.0 13937726
-15636.0 14533164
-15612.0 15078564
-15588.0 15432348
-15564.0 15104390
-15540.0 14942566
-15516.0 14873272
-15492.0 14804412
-15468.0 15396342
-15444.0 15956888
-15420.0 15655700
-15396.0 15328068
-15372.0 15227748
-15348.0 15064160
-15324.0 16131456
-15300.0 16432679
-15276.0 15536654
-15252.0 16047504
-15228.0 16261600
-15204.0 15995120
-15180.0 16372804
-15156.0 16217313
-15132.0 16197968
-15108.0 16303372
-15084.0 16621288
-15060.0 16817776
-15036.0 16613132
-15012.0 17383284
-14988.0 16870730
-14964.0 16295924
-14940.0 17198312
-14916.0 17135377
-14892.0 17489606
-14868.0 17466940
-14844.0 17073214
-14820.0 17626016
-14796.0 16916992
-14772.0 17576445
-14748.0 19232416
-14724.0 17623540
-14700.0 17197110
-14676.0 17933660
-14652.0 17373128
-14628.0 18579500
-14604.0 19384750
-14580.0 18292800
-14556.0 17855456
-14532.0 18269844
-14508.0 18072176
-14484.0 18625292
-14460.0 19867162
-14436.0 19087036
-14412.0 18595064
-14388.0 19286629
-14364.0 18835736
-14340.0 18939744
-14316.0 19357320
-14292.0 19192640
-14268.0 19729742
-14244.0 19953952
-14220.0 19898386
-14196.0 19464872
-14172.0 19781560
-14148.0 20575873
-14124.0 19691046
-14100.0 19776000
-14076.0 20437846
-14052.0 20235684
-14028.0 20062326
-14004.0 20716260
-13980.0 21224200
-13956.0 20327228
-13932.0 20920780
-13908.0 21696044
-13884.0 20300396
-13860.0 20724196
-13836.0 21392166
-13812.0 20599668
-13788.0 22052480
-13764.0 22379221
-13740.0 20812610
-13716.0 21003972
-13692.0 21975290
-13668.0 22269204
-13644.0 22348796
-13620.0 22309850
-13596.0 21845040
-13572.0 21796488
-13548.0 22010438
-13524.0 22746708
-13500.0 23093686
-13476.0 22516588
-13452.0 22637052
-13428.0 22805080
-13404.0 23079280
-13380.0 23637646
-13356.0 22912104
-13332.0 22367336
-13308.0 23211956
-13284.0 23636472
-13260.0 24036778
-13236.0 24342294
-13212.0 23885992
-13188.0 23055656
-13164.0 23178064
-13140.0 24026592
-13116.0 24442244
-13092.0 25465352
-13068.0 24826980
-13044.0 23766612
-13020.0 24579032
-12996.0 24123784
-12972.0 24255070
-12948.0 25827776
-12924.0 25313462
-12900.0 24660740
-12876.0 24982022
-12852.0 25471019
-12828.0 26183184
-12804.0 26009844
-12780.0 25229966
-12756.0 24503980
-12732.0 25463318
-12708.0 26959040
-12684.0 26595062
-12660.0 26151220
-12636.0 26258424
-12612.0 25871218
-12588.0 26269738
